wells.saudi.chemistry.pH|wells.saudi.chemistry.Eh|wells.saudi.chemistry.TDS|wells.saudi.chemistry.Ca|wells.saudi.chemistry.K|wells.saudi.chemistry.Mg|wells.saudi.chemistry.Na|wells.saudi.chemistry.HCO3|wells.saudi.chemistry.CI|wells.saudi.chemistry.SO4|wells.saudi.chemistry.NO3|wells.saudi.chemistry.F|wells.saudi.chemistry.PO4|wells.saudi.chemistry.TH|wells.saudi.chemistry.TA|wells.saudi.chemistry.TS|wells.saudi.chemistry.SS|wells.saudi.chemistry.COD|wells.saudi.chemistry.BOD|wells.saudi.chemistry.DO|wells.saudi.chemistry.latitude|wells.saudi.chemistry.longitude|wells.saudi.chemistry.altitude.ft|wells.saudi.chemistry.fault|wells.saudi.chemistry.geology|wells.saudi.metals.As|wells.saudi.metals.B|wells.saudi.metals.Ba|wells.saudi.metals.Be|wells.saudi.metals.Cd|wells.saudi.metals.Co|wells.saudi.metals.Cr|wells.saudi.metals.Cu|wells.saudi.metals.Fe|wells.saudi.metals.Hg|wells.saudi.metals.Mn|wells.saudi.metals.Mo|wells.saudi.metals.Pb|wells.saudi.metals.Se|wells.saudi.metals.Zn|wells.saudi.metals.latitude|wells.saudi.metals.longitude|wells.saudi.metals.altitude.ft|wells.saudi.metals.fault|wells.saudi.metals.geology
7.4|380|3028|427|10|133|482|159|1562|298|48|1|0.1|1615|130|4758|1730|0.8|1.7|7.1|28.448275|34.93563|864|202|Gypsum|1.2|22.8|16.7|0.4|0.3|0.1|2.1|0.7|0.5|2.1|0.3|12|1.3|2.2|0.9|28.448275|34.93563|864|202|Gypsum
7.4|378|2583|456|39|96|400|183|1349|350|46|0.9|0.1|1535|150|4253|1670|1|1.9|7.3|28.625897|35.051013|1494|80|Volcanic |2.2|16.4|20.2|0.4|0.3|0.1|0.7|0.6|14.9|0.1|0.7|13|1.7|3|0.4|28.625897|35.051013|1494|80|Volcanic 
7.8|377|1124|262|4|38|109|153|568|92|39|0.9|0.1|812|125|2544|1420|0.4|1.9|7|28.612935|35.218209|2284|400|Granite,Alkaline,Volcanic |0.4|6.6|43.1|0.5|0.3|0.7|0.7|0.5|2|1.2|0.8|23|2.3|2.3|0.1|28.612935|35.218209|2284|400|Granite,Alkaline,Volcanic 
7.8|377|800|246|16|26|64|171|426|120|28|1|0.1|723|140|2122|1322|0.4|2|6.2|28.54015|35.065537|1167|206|Gypsum,Sandstone|1|4.9|25.6|0.4|0.3|0.2|0.7|0.6|3.7|0.7|0.3|19|2.4|0.7|1.1|28.54015|35.065537|1167|206|Gypsum,Sandstone
7.2|389|3080|506|24|27|1816|110|3408|408|47|0.8|0.1|1376|90|4838|1758|1.2|1.6|6.9|29.248557|35.017044|1032|1100|Sand|0.3|16.4|77.3|0.3|0.3|0.2|1.3|0.8|0.5|0.1|0.8|12|1.1|0.5|1.2|29.248557|35.017044|1032|1100|Sand
7.1|394|6703|461|24|29|2661|128|4686|331|46|0.8|0.1|1272|105|8835|2132|1.2|0.4|6.2|29.235329|34.969706|279|1450|Sand|0.8|13.2|79.4|0.3|0.3|0.2|0.5|0.6|4.5|28.2|0.1|11|0.1|0.2|2|29.235329|34.969706|279|1450|Sand
7|387|10018|900|29|56|3879|116|7455|302|43|0.8|0.3|2478|95|12722|2704|1.2|1.5|6.9|29.291152|34.977884|403|1390|Sand|1.5|16.7|100.8|0.2|0.3|0.2|0.4|0.6|0.6|1.8|0.3|22|0.7|0.2|2.1|29.291152|34.977884|403|1390|Sand
7|382|2142|290|20|21|1251|153|1349|1402|45|1|0.1|811|125|3762|1620|1.6|1.8|7.3|29.336922|34.981922|552|1420|Sand|0.9|9.7|44.7|0.4|0.3|0.1|1|0.8|0.6|44.3|0.1|14|1.4|0.4|0.3|29.336922|34.981922|552|1420|Sand
7.1|388|5010|677|21|29|1639|110|3408|465|27|1|0.2|1810|140|6940|1930|1.2|1.1|6.7|29.319727|35.032035|1245|1000|Sand|0.1|12.8|68.5|0.4|0.3|0.1|0.8|0.9|0.7|3.5|0.1|21|2|0.4|3.9|29.319727|35.032035|1245|1000|Sand
7.6|355|406|239|5|12|207|159|213|612|44|1|0.1|646|130|1698|1292|1.2|1.9|7.3|29.24509|35.185575|2831|0|Alkaline,Granite|0.5|4.4|9.1|0.5|0.3|0.1|1.4|0.6|0.2|10.1|0.1|21|1.9|0.2|3.4|29.24509|35.185575|2831|0|Alkaline,Granite
